[Header]
Recipe;HDI
Name;HDI
Description;- serial EOL recipe for Hyundai
Date Time;26.03.2026 13:03:05
SDM - Hold Current [mA];3000
SDM - Pull Current [mA];12000
SDM - PullIn Time [us];1400
SDM - Boost Time [us];1400
Cycle;300
Range [ms];4000
Stabilization [ms];10000
Pressure In Dev [Bar];0.003
Pressure Out Dev [Bar];0.003
Error - Status/Code/Source;0;0;

[Conditions]
Pressure Atm S10 [bar];1.013
Temperature S9 [C];22.927
Temperature Gas S11 [C];21.813
Temperature Gas S12 [C];22.504

[Results]
Step;Time;Pressure In;Pressure Out;Speed;Opening Time;Aeff Min;Aeff Max;Aeff Mean;Pressure S3 Mean; Pressure S4 Mean;Flow Mean;Aeff StdDev Max;Aeff StdDev;Pressure S3 StdDev;Pressure S4 StdDev;Flow StdDev;Range
;[s];[Bara];[Bara];[rpm];[ms];[mm2];[mm2];[mm2];[Bara];[Bara];[m3/h];[mm2];[mm2];[Bar];[Bar];[m3/h];
2;3.3;10.000;0.000;11.851;9.402;1.129;5.255
2;3.4;10.000;0.000;11.854;9.401;1.129;5.255
2;3.5;10.000;0.000;11.851;9.403;1.128;5.255
2;3.6;10.000;0.000;11.853;9.402;1.132;5.255
2;3.7;10.000;0.000;11.849;9.404;1.129;5.255
2;3.8;10.000;0.000;11.852;9.402;1.129;5.255
2;3.9;10.000;0.000;11.853;9.402;1.132;5.255
2;4.0;10.000;0.000;11.855;9.399;1.132;5.255
2;4.1;10.000;0.000;11.853;9.401;1.132;5.255
2;4.2;10.000;0.000;11.849;9.404;1.129;5.254
2;4.3;10.000;0.000;11.852;9.401;1.129;5.254
2;4.4;10.000;0.000;11.849;9.403;1.129;5.254
2;4.5;10.000;0.000;11.851;9.402;1.129;5.254
2;4.6;10.000;0.000;11.849;9.403;1.132;5.254
2;4.7;10.000;0.000;11.853;9.400;1.133;5.254
2;4.8;10.000;0.000;11.850;9.402;1.129;5.254
2;4.9;10.000;0.000;11.849;9.403;1.129;5.254
2;5.0;10.000;0.000;11.851;9.402;1.128;5.254
2;5.1;10.000;0.000;11.851;9.401;1.132;5.254
2;5.2;10.000;0.000;11.848;9.403;1.129;5.254
2;5.3;10.000;0.000;11.850;9.402;1.128;5.254
2;5.4;10.000;0.000;11.850;9.402;1.128;5.254
2;5.5;10.000;0.000;11.852;9.401;1.128;5.254
2;5.6;10.000;0.000;11.853;9.400;1.132;5.254
2;5.7;10.000;0.000;11.854;9.399;1.132;5.254
2;5.8;10.000;0.000;11.852;9.400;1.128;5.254
2;5.9;10.000;0.000;11.856;9.397;1.129;5.254
2;6.0;10.000;0.000;11.852;9.400;1.128;5.254
2;6.1;10.000;0.000;11.853;9.400;1.131;5.254
2;6.2;10.000;0.000;11.855;9.398;1.132;5.254
2;6.3;10.000;0.000;11.854;9.399;1.128;5.254
2;6.4;10.000;0.000;11.852;9.401;1.128;5.254
2;6.5;10.000;0.000;11.853;9.400;1.128;5.254
2;6.6;10.000;0.000;11.853;9.400;1.128;5.254
2;6.7;10.000;0.000;11.856;9.398;1.132;5.254
2;6.8;10.000;0.000;11.855;9.399;1.129;5.255
2;6.9;10.000;0.000;11.854;9.401;1.128;5.255
2;7.0;10.000;0.000;11.853;9.403;1.130;5.255
2;7.1;10.000;0.000;11.858;9.399;1.132;5.256
2;7.2;10.000;0.000;11.855;9.401;1.129;5.256
2;7.3;10.000;0.000;11.858;9.399;1.132;5.256
2;7.4;10.000;0.000;11.856;9.401;1.129;5.256
2;7.5;10.000;0.000;11.861;9.397;1.132;5.256
2;7.6;10.000;0.000;11.857;9.400;1.128;5.256
2;7.7;10.000;0.000;11.855;9.401;1.129;5.256
2;7.8;10.000;0.000;11.858;9.399;1.129;5.256
2;7.9;10.000;0.000;11.862;9.396;1.129;5.256
2;8.0;10.000;0.000;11.858;9.399;1.128;5.256
2;8.1;10.000;0.000;11.859;9.398;1.132;5.256
2;8.2;10.000;0.000;11.855;9.401;1.129;5.255
2;8.3;10.000;0.000;11.858;9.398;1.129;5.255
2;8.4;10.000;0.000;11.856;9.400;1.129;5.255
2;8.5;10.000;0.000;11.858;9.399;1.128;5.255
2;8.6;10.000;0.000;11.860;9.397;1.132;5.256
2;8.7;10.000;0.000;11.861;9.397;1.132;5.256
2;8.8;10.000;0.000;11.860;9.399;1.129;5.257
2;8.9;10.000;0.000;11.866;9.395;1.129;5.257
2;9.0;10.000;0.000;11.863;9.398;1.129;5.257
2;9.1;10.000;0.000;11.865;9.398;1.132;5.258
2;9.2;10.000;0.000;11.867;9.397;1.133;5.258
2;9.3;10.000;0.000;11.867;9.398;1.133;5.259
2;9.4;10.000;0.000;11.866;9.399;1.129;5.260
2;9.5;10.000;0.000;11.869;9.398;1.129;5.260
2;9.6;10.000;0.000;11.872;9.397;1.132;5.261
2;9.7;10.000;0.000;11.873;9.397;1.133;5.261
2;9.8;10.000;0.000;11.872;9.398;1.129;5.261
2;9.9;10.000;0.000;11.875;9.396;1.129;5.261
2;10.0;10.000;0.000;11.875;9.396;1.132;5.262
2;10.1;10.000;0.000;11.872;9.398;1.132;5.261
2;10.2;10.000;0.000;11.867;9.401;1.129;5.261
2;10.3;10.000;0.000;11.867;9.400;1.129;5.261
2;10.4;10.000;0.000;11.871;9.397;1.129;5.260
2;10.5;10.000;0.000;11.869;9.397;1.132;5.260
2;10.6;10.000;0.000;11.866;9.399;1.132;5.259
2;10.7;10.000;0.000;11.866;9.399;1.132;5.259
2;10.8;10.000;0.000;11.862;9.400;1.128;5.258
2;10.9;10.000;0.000;11.859;9.402;1.128;5.258
2;11.0;10.000;0.000;11.859;9.402;1.128;5.258
2;11.1;10.000;0.000;11.856;9.403;1.131;5.257
2;11.2;10.000;0.000;11.858;9.400;1.131;5.256
2;11.3;10.000;0.000;11.853;9.403;1.128;5.256
2;11.4;10.000;0.000;11.852;9.404;1.128;5.256
2;11.5;10.000;0.000;11.857;9.400;1.131;5.256
2;11.6;10.000;0.000;11.855;9.402;1.131;5.256
2;11.7;10.000;0.000;11.855;9.402;1.132;5.256
2;11.8;10.000;0.000;11.852;9.404;1.128;5.256
2;11.9;10.000;0.000;11.855;9.401;1.128;5.256
2;12.0;10.000;0.000;11.852;9.404;1.128;5.256
2;12.1;10.000;0.000;11.852;9.403;1.131;5.256
2;12.2;10.000;0.000;11.848;9.406;1.128;5.255
2;12.3;10.000;0.000;11.848;9.405;1.128;5.255
2;12.4;10.000;0.000;11.852;9.402;1.128;5.255
2;12.5;10.000;0.000;11.847;9.405;1.127;5.254
2;12.6;10.000;0.000;11.846;9.406;1.127;5.254
2;12.7;10.000;0.000;11.846;9.404;1.131;5.253
2;12.8;10.000;0.000;11.841;9.406;1.127;5.252
2;12.9;10.000;0.000;11.839;9.407;1.127;5.252
2;13.0;10.000;0.000;11.839;9.406;1.127;5.251
2;13.1;10.000;0.000;11.837;9.407;1.127;5.251
2;13.2;10.000;0.000;11.838;9.405;1.131;5.250
2;13.3;10.000;0.000;11.836;9.406;1.128;5.250
2;13.4;10.000;0.000;11.833;9.408;1.128;5.250
2;13.5;10.000;0.000;11.837;9.405;1.131;5.249
2;13.6;10.000;0.000;11.834;9.406;1.131;5.249
2;13.7;10.000;0.000;11.830;9.410;1.128;5.249
2;13.8;10.000;0.000;11.833;9.408;1.128;5.249
2;13.9;10.000;0.000;11.831;9.409;1.128;5.249
2;14.0;10.000;0.000;11.832;9.409;1.128;5.250
2;14.1;10.000;0.000;11.834;9.408;1.131;5.250
2;14.2;10.000;0.000;11.835;9.407;1.131;5.250
