Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
22.0;0.601539;15.334;0.016;0.002;0.001;0;0;
22.2;0.6029659;15.339;0.016;0.002;0.001;0;0;
22.4;0.6051946;15.339;0.016;0.002;0.001;0;0;
22.6;0.6094527;15.336;0.016;0.002;0.001;0;0;
22.8;0.6150193;15.339;0.016;0.002;0.001;0;0;
23.0;0.6198038;15.339;0.015;0.002;0.001;0;0;
23.2;0.6226916;15.339;0.015;0.002;0.001;0;0;
23.4;0.6247181;15.339;0.015;0.002;0.001;0;0;
23.6;0.6260387;15.334;0.015;0.002;0.001;0;0;
23.8;0.6271899;15.334;0.015;0.002;0.001;0;0;
24.0;0.6301572;15.336;0.015;0.002;0.001;0;0;
24.2;0.6366953;15.341;0.015;0.002;0.001;0;0;
24.4;0.6449184;15.336;0.015;0.002;0.001;0;0;
24.6;0.6476703;15.339;0.015;0.002;0.001;0;0;
24.8;0.6491082;15.334;0.015;0.002;0.001;0;0;
25.0;0.6510944;15.339;0.015;0.002;0.001;0;0;
25.2;0.6530789;15.334;0.015;0.002;0.001;0;0;
25.4;0.6569808;15.332;0.015;0.002;0.001;0;0;
25.6;0.6629121;15.334;0.015;0.002;0.001;0;0;
25.8;0.668649;15.334;0.015;0.002;0.001;0;0;
26.0;0.6718734;15.334;0.015;0.002;0.001;0;0;
26.2;0.6731972;15.336;0.015;0.002;0.001;0;0;
26.4;0.674242;15.336;0.015;0.002;0.001;0;0;
26.6;0.6755752;15.339;0.014;0.002;0.001;0;0;
26.8;0.6788462;15.336;0.014;0.002;0.001;0;0;
27.0;0.6864533;15.336;0.014;0.002;0.001;0;0;
27.2;0.6930102;15.336;0.014;0.002;0.001;0;0;
27.4;0.698129;15.336;0.014;0.002;0.001;0;0;
27.6;0.7004224;15.334;0.014;0.002;0.001;0;0;
27.8;0.7023276;15.328;0.014;0.002;0.001;0;0;
28.0;0.7042381;15.330;0.014;0.002;0.001;0;0;
28.2;0.7077798;15.336;0.014;0.002;0.001;0;0;
28.4;0.7121136;15.334;0.014;0.002;0.001;0;0;
28.6;0.7181527;15.328;0.014;0.002;0.001;0;0;
28.8;0.7237093;15.330;0.014;0.002;0.001;0;0;
29.0;0.726007;15.332;0.014;0.002;0.001;0;0;
29.2;0.7276475;15.330;0.014;0.002;0.001;0;0;
29.4;0.7292737;15.330;0.014;0.002;0.001;0;0;
29.6;0.7313085;15.323;0.014;0.002;0.001;0;0;
29.8;0.7348895;15.330;0.014;0.002;0.001;0;0;
30.0;0.7403609;15.332;0.014;0.002;0.001;0;0;
30.2;0.7446058;15.326;0.014;0.002;0.001;0;0;
30.4;0.7473617;15.334;0.014;0.002;0.001;0;0;
30.6;0.748912;15.332;0.014;0.002;0.001;0;0;
30.8;0.7504073;15.332;0.014;0.002;0.001;0;0;
31.0;0.7526264;15.330;0.014;0.002;0.001;0;0;
31.2;0.7563424;15.330;0.014;0.002;0.001;0;0;
31.4;0.7616525;15.336;0.013;0.002;0.001;0;0;
31.6;0.7674832;15.332;0.013;0.002;0.001;0;0;
31.8;0.7708421;15.334;0.013;0.002;0.001;0;0;
32.0;0.773053;15.334;0.013;0.002;0.001;0;0;
32.2;0.7743994;15.326;0.013;0.001;0.001;0;0;
32.4;0.7753809;15.334;0.013;0.001;0.001;0;0;
32.6;0.7773812;15.330;0.013;0.001;0.001;0;0;
32.8;0.7802069;15.330;0.013;0.001;0.001;0;0;
33.0;0.7839907;15.328;0.013;0.001;0.001;0;0;
33.2;0.7864894;15.330;0.013;0.001;0.001;0;0;
33.4;0.7882304;15.330;0.013;0.001;0.001;0;0;
33.6;0.7895206;15.326;0.013;0.001;0.001;0;0;
33.8;0.7904693;15.332;0.013;0.001;0.001;0;0;
34.0;0.7917185;15.328;0.013;0.001;0.001;0;0;
34.2;0.7946984;15.332;0.013;0.001;0.001;0;0;
34.4;0.7984068;15.330;0.013;0.001;0.001;0;0;
34.6;0.8003851;15.330;0.013;0.001;0.001;0;0;
34.8;0.8018421;15.326;0.013;0.001;0.001;0;0;
35.0;0.8027418;15.326;0.013;0.001;0.001;0;0;
35.2;0.8036143;15.334;0.013;0.001;0.001;0;0;
35.4;0.805262;15.332;0.013;0.001;0.001;0;0;
35.6;0.8087372;15.336;0.013;0.001;0.001;0;0;
35.8;0.8109217;15.328;0.013;0.001;0.001;0;0;
36.0;0.8127379;15.326;0.013;0.001;0.001;0;0;
36.2;0.8139489;15.326;0.013;0.001;0.001;0;0;
36.4;0.8143141;15.330;0.013;0.001;0.001;0;0;
36.6;0.8140119;15.330;0.013;0.001;0.001;0;0;
36.8;0.8136184;15.328;0.013;0.001;0.001;0;0;
37.0;0.8140086;15.328;0.012;0.001;0.001;0;0;
37.2;0.8172925;15.332;0.012;0.001;0.001;0;0;
37.4;0.8220165;15.336;0.012;0.001;0.001;0;0;
37.6;0.8237337;15.323;0.012;0.001;0.001;0;0;
37.8;0.8250759;15.330;0.012;0.001;0.001;0;0;
38.0;0.8262753;15.332;0.012;0.001;0.001;0;0;
38.2;0.8275517;15.330;0.012;0.001;0.001;0;0;
38.4;0.8308247;15.323;0.012;0.001;0.001;0;0;
38.6;0.8368511;15.326;0.012;0.001;0.001;0;0;
38.8;0.8406454;15.332;0.012;0.001;0.001;0;0;
39.0;0.8415044;15.332;0.012;0.001;0.001;0;0;
39.2;0.841215;15.326;0.012;0.001;0.001;0;0;
39.4;0.8406507;15.328;0.012;0.001;0.001;0;0;
39.6;0.8404502;15.330;0.012;0.001;0.001;0;0;
39.8;0.842073;15.323;0.012;0.001;0.001;0;0;
40.0;0.8471406;15.328;0.012;0.001;0.001;0;0;
40.2;0.8539209;15.326;0.012;0.001;0.001;0;0;
40.4;0.8566648;15.330;0.012;0.001;0.001;0;0;
40.6;0.8579468;15.326;0.012;0.001;0.001;0;0;
40.8;0.8589421;15.328;0.012;0.001;0.001;0;0;
41.0;0.8603298;15.326;0.012;0.001;0.001;0;0;
41.2;0.8635367;15.330;0.012;0.001;0.001;0;0;
41.4;0.8673816;15.330;0.012;0.001;0.001;0;0;
41.6;0.8700901;15.323;0.012;0.001;0.001;0;0;
41.8;0.8719267;15.330;0.012;0.001;0.001;0;0;
42.0;0.8729948;15.328;0.012;0.001;0.001;0;0;
42.2;0.8739493;15.326;0.012;0.001;0.001;0;0;
42.4;0.8746047;15.323;0.012;0.001;0.001;0;0;
42.6;0.8753564;15.323;0.012;0.001;0.001;0;0;
42.8;0.8786377;15.326;0.012;0.001;0.001;0;0;
43.0;0.8844316;15.323;0.012;0.001;0.001;0;0;
43.2;0.8877528;15.323;0.012;0.001;0.001;0;0;
43.4;0.8900326;15.326;0.012;0.001;0.001;0;0;
43.6;0.8917192;15.326;0.012;0.001;0.001;0;0;
43.8;0.8932939;15.326;0.012;0.001;0.001;0;0;
44.0;0.8959678;15.321;0.012;0.001;0.001;0;0;
44.2;0.8995218;15.323;0.012;0.001;0.001;0;0;
44.4;0.9036902;15.326;0.012;0.001;0.001;0;0;
44.6;0.906957;15.326;0.012;0.001;0.001;0;0;
44.8;0.9084032;15.326;0.011;0.001;0.001;0;0;
45.0;0.9090909;15.326;0.011;0.001;0.001;0;0;
45.2;0.9097605;15.323;0.011;0.001;0.001;0;0;
45.4;0.9112891;15.328;0.011;0.001;0.001;0;0;
45.6;0.9146078;15.326;0.011;0.001;0.001;0;0;
45.8;0.9179187;15.323;0.011;0.001;0.001;0;0;
46.0;0.9216723;15.323;0.011;0.001;0.001;0;0;
46.2;0.9233024;15.321;0.011;0.001;0.001;0;0;
46.4;0.9246512;15.321;0.011;0.001;0.001;0;0;
46.6;0.9252217;15.326;0.011;0.001;0.001;0;0;
46.8;0.9264377;15.323;0.011;0.001;0.001;0;0;
47.0;0.9283673;15.323;0.011;0.001;0.001;0;0;
47.2;0.9307688;15.323;0.011;0.001;0.001;0;0;
47.4;0.9334031;15.326;0.011;0.001;0.001;0;0;
