Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
26.8;0.7301349;15.330;0.014;0.002;0.001;0;0;
27.0;0.7315666;15.339;0.014;0.002;0.001;0;0;
27.2;0.7339214;15.339;0.014;0.002;0.001;0;0;
27.4;0.7388292;15.339;0.014;0.002;0.001;0;0;
27.6;0.7444013;15.339;0.014;0.002;0.001;0;0;
27.8;0.7494144;15.339;0.014;0.002;0.001;0;0;
28.0;0.7546031;15.339;0.014;0.002;0.001;0;0;
28.2;0.7583273;15.339;0.014;0.002;0.001;0;0;
28.4;0.760024;15.336;0.013;0.002;0.001;0;0;
28.6;0.7614877;15.336;0.013;0.002;0.001;0;0;
28.8;0.7630994;15.339;0.013;0.002;0.001;0;0;
29.0;0.7654876;15.334;0.013;0.002;0.001;0;0;
29.2;0.7691623;15.334;0.013;0.002;0.001;0;0;
29.4;0.7720207;15.334;0.013;0.002;0.001;0;0;
29.6;0.7741081;15.330;0.013;0.001;0.001;0;0;
29.8;0.7757801;15.334;0.013;0.001;0.001;0;0;
30.0;0.7771519;15.339;0.013;0.001;0.001;0;0;
30.2;0.7802673;15.339;0.013;0.001;0.001;0;0;
30.4;0.7860975;15.334;0.013;0.001;0.001;0;0;
30.6;0.7940732;15.339;0.013;0.001;0.001;0;0;
30.8;0.8038161;15.334;0.013;0.001;0.001;0;0;
31.0;0.8082845;15.336;0.013;0.001;0.001;0;0;
31.2;0.8100095;15.332;0.013;0.001;0.001;0;0;
31.4;0.8117052;15.334;0.013;0.001;0.001;0;0;
31.6;0.8134632;15.334;0.013;0.001;0.001;0;0;
31.8;0.8156739;15.336;0.013;0.001;0.001;0;0;
32.0;0.8187271;15.328;0.013;0.001;0.001;0;0;
32.2;0.8235046;15.336;0.013;0.001;0.001;0;0;
32.4;0.8257708;15.334;0.013;0.001;0.001;0;0;
32.6;0.8272333;15.334;0.013;0.001;0.001;0;0;
32.8;0.8285615;15.334;0.013;0.001;0.001;0;0;
33.0;0.8301242;15.332;0.013;0.001;0.001;0;0;
33.2;0.8316805;15.328;0.013;0.001;0.001;0;0;
33.4;0.8346953;15.334;0.012;0.001;0.001;0;0;
33.6;0.8386117;15.339;0.012;0.001;0.001;0;0;
33.8;0.8404959;15.334;0.012;0.001;0.001;0;0;
34.0;0.8415928;15.334;0.012;0.001;0.001;0;0;
34.2;0.8430956;15.330;0.012;0.001;0.001;0;0;
34.4;0.8439576;15.330;0.012;0.001;0.001;0;0;
34.6;0.8446324;15.332;0.012;0.001;0.001;0;0;
34.8;0.8454419;15.326;0.012;0.001;0.001;0;0;
35.0;0.8478004;15.334;0.012;0.001;0.001;0;0;
35.2;0.8507792;15.330;0.012;0.001;0.001;0;0;
35.4;0.8525372;15.334;0.012;0.001;0.001;0;0;
35.6;0.8540654;15.332;0.012;0.001;0.001;0;0;
35.8;0.8547809;15.330;0.012;0.001;0.001;0;0;
36.0;0.8552754;15.330;0.012;0.001;0.001;0;0;
36.2;0.8566552;15.330;0.012;0.001;0.001;0;0;
36.4;0.8606483;15.332;0.012;0.001;0.001;0;0;
36.6;0.8640443;15.328;0.012;0.001;0.001;0;0;
36.8;0.8659664;15.328;0.012;0.001;0.001;0;0;
37.0;0.8671593;15.336;0.012;0.001;0.001;0;0;
37.2;0.8678332;15.332;0.012;0.001;0.001;0;0;
37.4;0.8697572;15.326;0.012;0.001;0.001;0;0;
37.6;0.8720338;15.332;0.012;0.001;0.001;0;0;
37.8;0.8761401;15.334;0.012;0.001;0.001;0;0;
38.0;0.8814233;15.328;0.012;0.001;0.001;0;0;
38.2;0.8841774;15.334;0.012;0.001;0.001;0;0;
38.4;0.8850856;15.330;0.012;0.001;0.001;0;0;
38.6;0.8854796;15.334;0.012;0.001;0.001;0;0;
38.8;0.8864548;15.332;0.012;0.001;0.001;0;0;
39.0;0.889706;15.332;0.012;0.001;0.001;0;0;
39.2;0.8945337;15.328;0.012;0.001;0.001;0;0;
39.4;0.8992279;15.328;0.012;0.001;0.001;0;0;
39.6;0.9010328;15.330;0.012;0.001;0.001;0;0;
39.8;0.9016063;15.330;0.012;0.001;0.001;0;0;
40.0;0.9024473;15.323;0.011;0.001;0.001;0;0;
40.2;0.9036322;15.332;0.011;0.001;0.001;0;0;
40.4;0.9058284;15.328;0.011;0.001;0.001;0;0;
40.6;0.9098967;15.334;0.011;0.001;0.001;0;0;
40.8;0.913937;15.328;0.011;0.001;0.001;0;0;
41.0;0.9173566;15.323;0.011;0.001;0.001;0;0;
41.2;0.9195761;15.328;0.011;0.001;0.001;0;0;
41.4;0.9209713;15.328;0.011;0.001;0.001;0;0;
41.6;0.9220541;15.328;0.011;0.001;0.001;0;0;
41.8;0.9234369;15.330;0.011;0.001;0.001;0;0;
42.0;0.9259565;15.328;0.011;0.001;0.001;0;0;
42.2;0.9297352;15.330;0.011;0.001;0.001;0;0;
42.4;0.9351081;15.328;0.011;0.001;0.001;0;0;
42.6;0.9371685;15.330;0.011;0.001;0.001;0;0;
42.8;0.9384317;15.330;0.011;0.001;0.001;0;0;
43.0;0.9393412;15.326;0.011;0.001;0.001;0;0;
43.2;0.940151;15.326;0.011;0.001;0.001;0;0;
43.4;0.9419684;15.323;0.011;0.001;0.001;0;0;
43.6;0.9450232;15.328;0.011;0.001;0.001;0;0;
43.8;0.9490774;15.328;0.011;0.001;0.001;0;0;
44.0;0.9511299;15.332;0.011;0.001;0.001;0;0;
44.2;0.9523543;15.328;0.011;0.001;0.001;0;0;
44.4;0.9535521;15.323;0.011;0.001;0.001;0;0;
44.6;0.9545613;15.326;0.011;0.001;0.001;0;0;
44.8;0.956567;15.323;0.011;0.001;0.001;0;0;
45.0;0.9607379;15.328;0.011;0.001;0.001;0;0;
45.2;0.9656961;15.326;0.011;0.001;0.001;0;0;
45.4;0.9680805;15.326;0.011;0.001;0.001;0;0;
45.6;0.969152;15.328;0.011;0.001;0.001;0;0;
45.8;0.9696924;15.326;0.011;0.001;0.001;0;0;
46.0;0.9705744;15.330;0.011;0.001;0.001;0;0;
46.2;0.9722031;15.330;0.011;0.001;0.001;0;0;
46.4;0.9752343;15.326;0.011;0.001;0.001;0;0;
46.6;0.9805275;15.330;0.011;0.001;0.001;0;0;
46.8;0.9829068;15.332;0.011;0.001;0.001;0;0;
47.0;0.98391;15.323;0.011;0.001;0.001;0;0;
47.2;0.9849157;15.328;0.011;0.001;0.001;0;0;
47.4;0.9858434;15.328;0.011;0.001;0.001;0;0;
47.6;0.9872817;15.323;0.011;0.001;0.001;0;0;
47.8;0.9893809;15.326;0.011;0.001;0.001;0;0;
48.0;0.9940479;15.323;0.010;0.001;0.001;0;0;
48.2;0.9979174;15.326;0.010;0.001;0.001;0;0;
48.4;0.9995107;15.321;0.010;0.001;0.001;0;0;
48.6;1.000385;15.326;0.010;0.001;0.001;0;0;
48.8;1.000924;15.326;0.010;0.001;0.001;0;0;
49.0;1.001608;15.332;0.010;0.001;0.001;0;0;
49.2;1.004625;15.323;0.010;0.001;0.001;0;0;
49.4;1.009283;15.326;0.010;0.001;0.001;0;0;
49.6;1.012469;15.328;0.010;0.001;0.001;0;0;
49.8;1.013826;15.321;0.010;0.001;0.001;0;0;
50.0;1.014742;15.328;0.010;0.001;0.001;0;0;
50.2;1.01539;15.326;0.010;0.001;0.001;0;0;
50.4;1.015944;15.323;0.010;0.001;0.001;0;0;
50.6;1.016992;15.323;0.010;0.001;0.001;0;0;
50.8;1.019946;15.326;0.010;0.001;0.001;0;0;
51.0;1.023748;15.326;0.010;0.001;0.001;0;0;
51.2;1.025508;15.326;0.010;0.001;0.001;0;0;
51.4;1.026176;15.328;0.010;0.001;0.001;0;0;
51.6;1.026587;15.323;0.010;0.001;0.001;0;0;
51.8;1.029178;15.326;0.010;0.001;0.001;0;0;
52.0;1.034365;15.326;0.010;0.001;0.001;0;0;
52.2;1.040843;15.328;0.010;0.001;0.001;0;0;
52.4;1.045307;15.326;0.010;0.001;0.001;0;0;
52.6;1.047129;15.328;0.010;0.001;0.001;0;0;
52.8;1.047833;15.326;0.010;0.001;0.001;0;0;
53.0;1.048302;15.326;0.010;0.001;0.001;0;0;
53.2;1.048799;15.328;0.010;0.001;0.001;0;0;
53.4;1.049879;15.323;0.010;0.001;0.001;0;0;
53.6;1.053416;15.321;0.010;0.001;0.001;0;0;
53.8;1.058456;15.332;0.010;0.001;0.001;0;0;
54.0;1.06076;15.330;0.010;0.001;0.001;0;0;
54.2;1.062308;15.326;0.010;0.001;0.001;0;0;
54.4;1.063399;15.326;0.010;0.001;0.001;0;0;
54.6;1.064285;15.326;0.010;0.001;0.001;0;0;
54.8;1.067331;15.323;0.010;0.001;0.001;0;0;
55.0;1.071251;15.328;0.010;0.001;0.001;0;0;
55.2;1.075022;15.328;0.010;0.001;0.001;0;0;
55.4;1.077159;15.328;0.010;0.001;0.001;0;0;
55.6;1.078698;15.328;0.010;0.001;0.001;0;0;
55.8;1.079976;15.326;0.010;0.001;0.001;0;0;
56.0;1.080555;15.323;0.010;0.001;0.001;0;0;
56.2;1.081912;15.326;0.010;0.001;0.001;0;0;
56.4;1.084334;15.321;0.010;0.001;0.001;0;0;
56.6;1.088154;15.326;0.010;0.001;0.001;0;0;
56.8;1.091485;15.328;0.010;0.001;0.001;0;0;
57.0;1.093415;15.321;0.010;0.001;0.001;0;0;
57.2;1.094947;15.323;0.010;0.001;0.001;0;0;
57.4;1.095647;15.328;0.010;0.001;0.001;0;0;
57.6;1.096661;15.323;0.010;0.001;0.001;0;0;
57.8;1.0993;15.321;0.010;0.001;0.001;0;0;
58.0;1.103548;15.323;0.010;0.001;0.001;0;0;
58.2;1.108044;15.321;0.010;0.001;0.001;0;0;
58.4;1.109595;15.326;0.010;0.001;0.001;0;0;
58.6;1.11025;15.323;0.010;0.001;0.001;0;0;
58.8;1.11129;15.323;0.010;0.001;0.001;0;0;
59.0;1.112746;15.323;0.010;0.001;0.001;0;0;
59.2;1.114857;15.323;0.010;0.001;0.001;0;0;
59.4;1.118233;15.326;0.010;0.001;0.001;0;0;
59.6;1.123369;15.326;0.010;0.001;0.001;0;0;
59.8;1.125017;15.321;0.010;0.001;0.001;0;0;
60.0;1.125818;15.323;0.010;0.001;0.001;0;0;
60.2;1.126133;15.326;0.010;0.001;0.001;0;0;
60.4;1.126872;15.323;0.010;0.001;0.001;0;0;
60.6;1.127552;15.328;0.010;0.001;0.001;0;0;
60.8;1.12884;15.323;0.009;0.001;0.001;0;0;
61.0;1.13192;15.328;0.009;0.001;0.001;0;0;
61.2;1.134213;15.321;0.010;0.001;0.001;0;0;
61.4;1.135141;15.323;0.010;0.001;0.001;0;0;
61.6;1.135728;15.326;0.009;0.001;0.001;0;0;
61.8;1.135953;15.332;0.009;0.001;0.001;0;0;
62.0;1.136368;15.328;0.009;0.001;0.001;0;0;
62.2;1.137733;15.326;0.009;0.001;0.001;0;0;
62.4;1.141056;15.326;0.009;0.001;0.001;0;0;
62.6;1.143879;15.326;0.009;0.001;0.001;0;0;
62.8;1.145476;15.326;0.009;0.001;0.001;0;0;
63.0;1.146588;15.326;0.009;0.001;0.001;0;0;
63.2;1.147565;15.326;0.009;0.001;0.001;0;0;
63.4;1.148488;15.328;0.009;0.001;0.001;0;0;
63.6;1.149765;15.326;0.009;0.001;0.001;0;0;
63.8;1.151571;15.326;0.009;0.001;0.001;0;0;
64.0;1.153829;15.321;0.009;0.001;0.001;0;0;
64.2;1.154826;15.323;0.009;0.001;0.001;0;0;
64.4;1.155067;15.321;0.009;0.001;0.001;0;0;
64.6;1.154504;15.326;0.009;0.001;0.001;0;0;
64.8;1.153779;15.321;0.009;0.001;0.001;0;0;
65.0;1.154166;15.326;0.009;0.001;0.001;0;0;
65.2;1.155863;15.326;0.009;0.001;0.001;0;0;
65.4;1.158018;15.321;0.009;0.001;0.001;0;0;
65.6;1.158676;15.321;0.009;0.001;0.001;0;0;
65.8;1.158954;15.326;0.009;0.001;0.001;0;0;
66.0;1.15955;15.321;0.009;0.001;0.001;0;0;
66.2;1.158902;15.323;0.009;0.001;0.001;0;0;
66.4;1.158573;15.326;0.009;0.001;0.001;0;0;
66.6;1.159925;15.321;0.009;0.001;0.001;0;0;
66.8;1.161069;15.323;0.009;0.001;0.001;0;0;
67.0;1.161847;15.321;0.009;0.001;0.001;0;0;
67.2;1.162037;15.321;0.009;0.001;0.001;0;0;
67.4;1.162451;15.321;0.009;0.001;0.001;0;0;
67.6;1.162284;15.323;0.009;0.001;0.001;0;0;
67.8;1.162467;15.330;0.009;0.001;0.001;0;0;
68.0;1.164638;15.321;0.009;0.001;0.001;0;0;
68.2;1.166737;15.323;0.009;0.001;0.001;0;0;
68.4;1.167529;15.323;0.009;0.001;0.001;0;0;
68.6;1.168094;15.323;0.009;0.001;0.001;0;0;
68.8;1.168583;15.323;0.009;0.001;0.001;0;0;
69.0;1.16874;15.321;0.009;0.001;0.001;0;0;
69.2;1.168278;15.326;0.009;0.001;0.001;0;0;
69.4;1.168457;15.321;0.009;0.001;0.001;0;0;
69.6;1.169725;15.326;0.009;0.001;0.001;0;0;
69.8;1.170105;15.321;0.009;0.001;0.001;0;0;
70.0;1.170085;15.321;0.009;0.001;0.001;0;0;
70.2;1.170407;15.321;0.009;0.001;0.001;0;0;
70.4;1.170419;15.323;0.009;0.001;0.001;0;0;
70.6;1.170491;15.321;0.009;0.001;0.001;0;0;
70.8;1.171642;15.321;0.009;0.001;0.001;0;0;
71.0;1.173232;15.323;0.009;0.001;0.001;0;0;
71.2;1.175137;15.323;0.009;0.001;0.001;0;0;
71.4;1.176033;15.321;0.009;0.001;0.001;0;0;
71.6;1.176007;15.323;0.009;0.001;0.001;0;0;
71.8;1.175631;15.323;0.009;0.001;0.001;0;0;
72.0;1.175829;15.321;0.009;0.001;0.001;0;0;
72.2;1.176897;15.319;0.009;0.001;0.001;0;0;
72.4;1.178088;15.323;0.009;0.001;0.001;0;0;
72.6;1.179523;15.323;0.009;0.001;0.001;0;0;
72.8;1.180186;15.323;0.009;0.001;0.001;0;0;
73.0;1.180059;15.323;0.009;0.001;0.001;0;0;
73.2;1.179912;15.326;0.009;0.001;0.001;0;0;
73.4;1.18044;15.323;0.009;0.001;0.001;0;0;
73.6;1.182073;15.326;0.009;0.001;0.001;0;0;
73.8;1.18417;15.321;0.009;0.001;0.001;0;0;
74.0;1.186548;15.321;0.009;0.001;0.001;0;0;
74.2;1.187648;15.323;0.009;0.001;0.001;0;0;
74.4;1.187509;15.326;0.009;0.001;0.001;0;0;
74.6;1.187546;15.323;0.009;0.001;0.001;0;0;
74.8;1.187734;15.323;0.009;0.001;0.001;0;0;
75.0;1.187965;15.323;0.009;0.001;0.001;0;0;
75.2;1.189264;15.323;0.009;0.001;0.001;0;0;
75.4;1.192121;15.321;0.009;0.001;0.001;0;0;
75.6;1.193614;15.321;0.009;0.001;0.001;0;0;
75.8;1.193974;15.321;0.009;0.001;0.001;0;0;
76.0;1.194123;15.326;0.009;0.001;0.000;0;0;
76.2;1.194097;15.321;0.009;0.001;0.000;0;0;
76.4;1.194174;15.328;0.008;0.001;0.000;0;0;
76.6;1.194806;15.321;0.009;0.001;0.000;0;0;
76.8;1.196926;15.323;0.008;0.001;0.001;0;0;
77.0;1.198568;15.323;0.008;0.001;0.000;0;0;
77.2;1.199287;15.323;0.008;0.001;0.001;0;0;
77.4;1.199605;15.321;0.008;0.001;0.000;0;0;
77.6;1.199772;15.321;0.008;0.001;0.000;0;0;
77.8;1.199845;15.321;0.008;0.001;0.000;0;0;
78.0;1.201218;15.321;0.008;0.001;0.000;0;0;
